cd_name	ncbi_symbol	gene_name	ncbi_aliases
CD17	carbohydrate	CD17	carbohydrate
CD60a	carbohydrate	CD60	carbohydrate
CD60b	carbohydrate	CD60B	carbohydrate
CD60c	carbohydrate	CD60C	carbohydrate
CD65	carbohydrate	CD65	carbohydrate
CD65s	carbohydrate	CD65S	carbohydrate
CD75	carbohydrate	CD75	carbohydrate
CD75s	carbohydrate	CD75S	carbohydrate
CD77	carbohydrate	CD77	carbohydrate
CD173	carbohydrate	CD173	carbohydrate
CD175	carbohydrate	CD175	carbohydrate
CD175s	carbohydrate	CD175S	carbohydrate
CD176	carbohydrate	CD176	carbohydrate
