cd.name	ncbi.symbol	gene.name	ncbi.aliases
CD1a	CD1A	CD1A	CD1
CD1b	CD1B	CD1B	CD1
CD1c	CD1C	CD1C	CD1
CD1d	CD1D	CD1D	none
CD1e	CD1E	CD1E	HSCDIEL
CD2	CD2	CD2	SRBC;T11
CD3d	CD3D	CD3D	CD3-DELTA;T3D
CD3e	CD3E	CD3e	CD3eantigen
CD3g	CD3G	CD3G	CD3-GAMMA;T3G
CD4	CD4	CD4	none
CD5	CD5	CD5	T1
CD6	CD6	CD6	TP120
CD7	CD7	CD7	GP40;LEU-9;TP41;Tp40
CD8a	CD8A	CD8A	CD8;Leu2;MAL;p32
CD8b	CD8B1	CD8B	CD8B;LYT3;Leu2;Ly3
CD9	CD9	CD9	BA2;DRAP-27;MIC3;MRP-1;P24
CD10	MME	CD10	CALLA;CD10;NEP
CD11a	ITGAL	CD11A	CD11A;LFA-1;LFA1A
CD11b	ITGAM	CD11B	CD11B;CR3A;MAC-1;MAC1A;MO1A
CD11c	ITGAX	CD11C	CD11C
CD11d	ITGAD	CD11D	ADB2;CD11D
CD13	ANPEP	CD13	CD13;LAP1;PEPN;gp150
CD14	CD14	CD14	none
CD15	FUT4	CD15	CD15;ELFT;FCT3A;FUC-TIV
CD16a	FCGR3A	CD16	CD16;FCG3;FCGR3;IGFR3
CD16b	FCGR3B	CD16	CD16;FCG3;FCGR3
CD18	ITGB2	CD18	CD18;LAD;LCAMB;LFA-1;MF17;MFI7
CD19	CD19	CD19	B4;MGC12802
CD20	CD20	CD20	B1;Bp35;MS4A2
CD21	CR2	CD21	C3DR;CD21
CD22	CD22	CD22	sialicacidbindingIg-likelectin2;SIGLEC-2;SIGLEC2
CD23	FCER2	CD23	CD23;CD23A;FCE2;IGEBF
CD24	CD24	CD24	CD24A
CD25	IL2RA	CD25	CD25;IL2R;TCGFR
CD26	DPP4	CD26	ADABP;ADCP2;CD26;DPPIV;TP103
CD27	TNFRSF7	CD27	CD27;MGC20393;S152;T14;Tp55
CD28	CD28	CD28	Tp44
CD29	ITGB1	CD29	CD29;FNRB;GPIIA;MDF2;MSK12;VLAB
CD30	TNFRSF8	CD30	CD30;D1S166E;KI-1
CD31	PECAM1	CD31	CD31
CD33	CD33	CD33	SIGLEC-3;p67
CD34	CD34	CD34	none
CD35	CR1	CD35	C3BR;CD35
CD36	CD36	CD36	FAT;GP3B;GP4;GPIV;PASIV;SCARB3
CD37	CD37	CD37	GP52-40
CD38	CD38	CD38	ADP-ribosylcyclase1;NAD(+)nucleosidase
CD39	ENTPD1	CD39	ATPDase;CD39;NTPDase-1
CD40	CD40	CD40	Bp50;p50
CD41	ITGA2B	CD41	CD41;CD41B;GP2B;GPIIb;GTA
CD42a	GP9	CD42A	CD42a
CD42b	GP1BA	CD42B	BSS;CD42B;CD42b-alpha;GP1B;MGC34595
CD42c	GP1BB	CD42C	CD42c
CD42d	GP5	CD42D	CD42d
CD43	SPN	CD43	CD43;GPL115;LSN
CD44	CD44	CD44	CDW44;ECMR-III;IN;INLU;LHR;MC56;MDU2;MDU3;MGC10468;MIC4;MUTCH-I;Pgp1
CD45	PTPRC	CD45	B220;CD45;GP180;LCA;LY5;T200
CD45RA	PTPRC	CD45RA	
CD45RB	PTPRC	CD45RB	
CD45RC	PTPRC	CD45RC	
CD45RO	PTPRC	CD45RO	
CD46	MCP	CD46	CD46;MGC26544;MIC10;TLX;TRA2.10
