marker	protein	hgnc.symbol	cell.type
CD45+	PTPRC	PTPRC	Leukocyte
CD3+	CD3	CD3D	T-cell
CD4+	CD4	CD4	T-cell
CD8+	CD8	CD8A	T-cell
CD127	IL7R	IL7R	T,MAST,Macrophage
CD132	IL2RG	IL2RG	T-cells
CD197	CCR7	CCR7	T,B,D cells
INFy	IFNG	IFNG	Th1
STAT4	STAT4	STAT4	Th1
T-bet	T-bet	TBX21	Th1
IL-4	IL-4	IL4	Th2
STAT6	STAT6	STAT6	Th2
GATA3	GATA3	GATA3	Th2
TGFB	TGFB1	TGFB1	Treg
TGFB	TGFB2	TGFB2	Treg
TGFB	TGFB3	TGFB3	Treg
FOXP3	FOXP3	FOXP3	Treg
IL-17	IL17A	IL17	Th17
STAT3	STAT3	STAT3	Th17
RORyt	RORyt	RORC	Th17
CD14	CD14	CD14	CD14+ Monocyte
LYZ	LYZ	LYZ	CD14+ Monocyte
CD16a+	FCGR3A	FCGR3A	FCGR3A+ Monocyte
CD16b+	FCGR3B	FCGR3B	FCGR3B+ Monocyte
MS4A7	MS4A7	MS4A7	FCGR3A+ Monocyte
CD19+	CD19	CD19	B-cell
CD20+	MS4A1	MS4A1	B-cell
MS4A1	MS4A1	MS4A1	B-cell
CD56	CD56	NCAM1	NK cell
CD335	CD335	NCR1	NK cell
GNLY	GNLY	GNLY	NK cell
NKG7	NKG7	NKG7	NK cell
CD11c	CD11c	ITGAX	DC
CD123	CD123	IL3RA	DC
FCER1A	FCER1A	FCER1A	DC
CST3	CST3	CST3	DC
CD14	CD14	CD14	Macrophage
CD33	CD33	CD33	Macrophage
CD163	CD163	CD163	Macrophages
CD66b	CD66b	CEACAM8	Glanulocyte
CD203c	CD203c	ENPP3	Glanulocyte
CD203c	CD203c	CD203C	Glanulocyte
CD331	FGFR1	FGFR1	Fibroblasts
CD332	FGFR2	FGFR2	Fibroblasts
CD333	FGFR3	FGFR3	Fibroblasts
CD334	FGFR4	FGFR4	Fibroblasts
COL1A1	COL1A1	COL1A1	Fibroblasts
CD34	CD34	CD34	MAST cell
CD117	CD117	CD117	MAST cell
CD203c	CD203c	CD203c	MAST cell
CD146	CD146	MCAM	Endothelial cells
CDH5	CDH5	CDH5	Endothelial cells
CD326	CD326	EPCAM	Epithelial
AnexinV	ANXA5	ANXA5	Apoptosis
CD295	LEPR	LEPR	NA
PD-L1	PD-1	CD274	NA
CDH18	CDH18	CDH18	NA
