Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
958	1.19618e-56	-22.1176	209	1	BCELL	up	CD40
9215	3.01973e-54	-21.2901	209	1	BCELL	up	LARGE1
1268	2.63693e-52	-20.6301	209	1	BCELL	up	CNR1
55103	1.51831e-51	-20.3736	209	1	BCELL	up	RALGPS2
6660	7.38777e-50	-19.8081	209	1	BCELL	up	SOX5
1286	2.724e-48	-19.2875	209	1	BCELL	up	COL4A4
5581	1.62635e-46	-18.7022	209	1	BCELL	up	PRKCE
114884	1.35993e-44	-18.0738	209	1	BCELL	up	OSBPL10
1285	1.11593e-43	-17.7768	209	1	BCELL	up	COL4A3
3592	8.35886e-43	-17.4936	209	1	BCELL	up	IL12A
5218	5.63402e-41	-16.9042	209	1	BCELL	up	CDK14
22837	5.57217e-39	-16.2649	209	1	BCELL	up	COBLL1
973	4.47868e-38	-15.9759	209	1	BCELL	up	CD79A
640	4.74371e-38	-15.968	209	1	BCELL	up	BLK
3581	1.1551e-37	-15.8448	209	1	BCELL	up	IL9R
26047	2.13029e-37	-15.7601	209	1	BCELL	up	CNTNAP2
54762	2.66689e-37	-15.729	209	1	BCELL	up	GRAMD1C
55024	3.71458e-37	-15.6832	209	1	BCELL	up	BANK1
4099	5.03673e-37	-15.6411	209	1	BCELL	up	MAG
9026	9.3002e-37	-15.5564	209	1	BCELL	up	HIP1R
5368	5.41288e-36	-15.3132	209	1	BCELL	up	PNOC
10804	2.06403e-35	-15.1286	209	1	BCELL	up	GJB6
79365	7.13725e-35	-14.9575	209	1	BCELL	up	BHLHE41
25849	1.33899e-34	-14.8708	209	1	BCELL	up	PARM1
23075	5.65006e-34	-14.6725	209	1	BCELL	up	SWAP70
83478	6.81977e-34	-14.6466	209	1	BCELL	up	ARHGAP24
9620	2.1451e-33	-14.4888	209	1	BCELL	up	CELSR1
10734	2.20015e-33	-14.4853	209	1	BCELL	up	STAG3
28968	1.33648e-32	-14.2369	209	1	BCELL	up	SLC6A16
3712	1.97196e-32	-14.1833	209	1	BCELL	up	IVD
7430	2.39313e-32	-14.1567	209	1	BCELL	up	EZR
79368	2.4468e-32	-14.1536	209	1	BCELL	up	FCRL2
23062	3.64707e-32	-14.0986	209	1	BCELL	up	GGA2
930	4.43008e-32	-14.0719	209	1	BCELL	up	CD19
79600	7.46336e-32	-14	209	1	BCELL	up	TCTN1
221749	2.39765e-30	-13.5219	209	1	BCELL	up	PXDC1
8082	9.05789e-30	-13.3385	209	1	BCELL	up	SSPN
25825	1.25216e-29	-13.2938	209	1	BCELL	up	BACE2
3493	1.40215e-29	-13.2782	209	1	BCELL	up	IGHA1
2537	1.47276e-29	-13.2714	209	1	BCELL	up	IFI6
27314	2.00422e-29	-13.2289	209	1	BCELL	up	RAB30
5026	3.05595e-29	-13.1706	209	1	BCELL	up	P2RX5
3107	3.16767e-29	-13.1656	209	1	BCELL	up	HLA-C
7163	5.40027e-29	-13.0919	209	1	BCELL	up	TPD52
79817	1.94713e-28	-12.9145	209	1	BCELL	up	MOB3B
2788	6.2448e-28	-12.7531	209	1	BCELL	up	GNG7
28902	8.33021e-28	-12.7131	209	1	BCELL	up	IGKV1D-13
55205	1.03193e-27	-12.6835	209	1	BCELL	up	ZNF532
132	1.27241e-27	-12.6544	209	1	BCELL	up	ADK
4927	1.69726e-27	-12.6144	209	1	BCELL	up	NUP88
4907	2.01939e-27	-12.5903	209	1	BCELL	up	NT5E
25780	2.72301e-27	-12.5488	209	1	BCELL	up	RASGRP3
91353	3.99103e-27	-12.4957	209	1	BCELL	up	IGLL3P
10863	4.07273e-27	-12.4929	209	1	BCELL	up	ADAM28
79874	4.73922e-27	-12.4718	209	1	BCELL	up	RABEP2
26002	7.84943e-27	-12.4017	209	1	BCELL	up	MOXD1
728014	9.58629e-27	-12.3739	209	1	BCELL	up	NA
2823	1.24715e-26	-12.3372	209	1	BCELL	up	GPM6A
9649	2.84499e-26	-12.2224	209	1	BCELL	up	RALGPS1
9447	2.9949e-26	-12.2152	209	1	BCELL	up	AIM2
3816	3.14394e-26	-12.2084	209	1	BCELL	up	KLK1
55084	5.56299e-26	-12.1289	209	1	BCELL	up	SOBP
1380	1.15351e-25	-12.027	209	1	BCELL	up	CR2
11108	1.16439e-25	-12.0257	209	1	BCELL	up	PRDM4
26504	1.1707e-25	-12.0249	209	1	BCELL	up	CNNM4
79651	1.69339e-25	-11.9733	209	1	BCELL	up	RHBDF2
28815	4.29351e-25	-11.8431	209	1	BCELL	up	IGLV2-14
11137	7.03188e-25	-11.7739	209	1	BCELL	up	PWP1
643	8.87083e-25	-11.7413	209	1	BCELL	up	CXCR5
5244	9.76365e-25	-11.7279	209	1	BCELL	up	ABCB4
7942	1.09551e-24	-11.7117	209	1	BCELL	up	TFEB
5966	1.23358e-24	-11.695	209	1	BCELL	up	REL
23034	2.28494e-24	-11.6084	209	1	BCELL	up	SAMD4A
54920	3.19465e-24	-11.5612	209	1	BCELL	up	DUS2
