Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
7036	2.38165e-43	-17.6701	209	1	ERY	up	TFR2
286	6.90272e-42	-17.1976	209	1	ERY	up	ANK1
8727	3.41501e-41	-16.9741	209	1	ERY	up	CTNNAL1
6005	6.26742e-40	-16.5685	209	1	ERY	up	RHAG
482	6.6344e-40	-16.5606	209	1	ERY	up	ATP1B2
55071	8.25875e-40	-16.5301	209	1	ERY	up	C9orf40
7001	5.60546e-39	-16.2641	209	1	ERY	up	PRDX2
2623	1.42572e-38	-16.1346	209	1	ERY	up	GATA1
6708	1.85154e-38	-16.0983	209	1	ERY	up	SPTA1
7855	8.24643e-37	-15.573	209	1	ERY	up	FZD5
79901	1.04273e-36	-15.5406	209	1	ERY	up	CYBRD1
7111	1.3382e-36	-15.5061	209	1	ERY	up	TMOD1
3145	2.51923e-36	-15.4188	209	1	ERY	up	HMBS
6566	2.58595e-36	-15.4152	209	1	ERY	up	SLC16A1
5498	9.37292e-36	-15.2374	209	1	ERY	up	PPOX
682	1.37882e-35	-15.1842	209	1	ERY	up	BSG
6790	5.44959e-35	-14.9947	209	1	ERY	up	AURKA
3044	2.05578e-34	-14.8118	209	1	ERY	up	HBBP1
6513	2.72137e-34	-14.7731	209	1	ERY	up	SLC2A1
3792	2.87148e-34	-14.7657	209	1	ERY	up	KEL
4635	3.28896e-34	-14.747	209	1	ERY	up	MYL4
8669	3.38014e-34	-14.7433	209	1	ERY	up	EIF3J
386757	4.98576e-34	-14.6897	209	1	ERY	up	SLC6A10P
2057	5.46467e-34	-14.6771	209	1	ERY	up	EPOR
55432	2.1826e-33	-14.4864	209	1	ERY	up	YOD1
891	6.44136e-33	-14.3374	209	1	ERY	up	CCNB1
51400	6.4964e-33	-14.3362	209	1	ERY	up	PPME1
7027	8.50412e-33	-14.2991	209	1	ERY	up	TFDP1
6535	9.16788e-33	-14.2888	209	1	ERY	up	SLC6A8
2996	1.01269e-32	-14.2751	209	1	ERY	up	GYPE
3068	1.10756e-32	-14.2627	209	1	ERY	up	HDGF
730021	1.19271e-32	-14.2525	209	1	ERY	up	LOC730021
23039	1.77192e-32	-14.198	209	1	ERY	up	XPO7
51218	2.27464e-32	-14.1637	209	1	ERY	up	GLRX5
9562	2.71996e-32	-14.139	209	1	ERY	up	MINPP1
55907	2.7537e-32	-14.1373	209	1	ERY	up	CMAS
10381	3.69629e-32	-14.0968	209	1	ERY	up	TUBB3
1743	4.80086e-32	-14.0608	209	1	ERY	up	DLST
3046	5.20331e-32	-14.0497	209	1	ERY	up	HBE1
10661	5.54503e-32	-14.0409	209	1	ERY	up	KLF1
79071	5.73789e-32	-14.0362	209	1	ERY	up	ELOVL6
5792	7.96824e-32	-13.991	209	1	ERY	up	PTPRF
2039	9.02917e-32	-13.9738	209	1	ERY	up	DMTN
9895	1.09417e-31	-13.9473	209	1	ERY	up	TECPR2
996	1.53239e-31	-13.9009	209	1	ERY	up	CDC27
9787	1.94275e-31	-13.8683	209	1	ERY	up	DLGAP5
4751	2.28114e-31	-13.8461	209	1	ERY	up	NEK2
4942	2.36556e-31	-13.8411	209	1	ERY	up	OAT
645	2.54345e-31	-13.8311	209	1	ERY	up	BLVRB
56180	3.30866e-31	-13.7949	209	1	ERY	up	MOSPD1
3049	4.18062e-31	-13.7627	209	1	ERY	up	HBQ1
10422	5.72624e-31	-13.7193	209	1	ERY	up	UBAC1
3386	7.58172e-31	-13.6806	209	1	ERY	up	ICAM4
