Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
140462	2.43306e-59	-23.06	209	1	HSC_e-ERY	up	ASB9
3205	2.71565e-59	-23.0432	209	1	HSC_e-ERY	up	HOXA9
54360	6.98404e-59	-22.8985	209	1	HSC_e-ERY	up	CYTL1
8908	8.13929e-57	-22.1757	209	1	HSC_e-ERY	up	GYG2
1829	1.92286e-56	-22.0461	209	1	HSC_e-ERY	up	DSG2
27306	3.67455e-55	-21.6038	209	1	HSC_e-ERY	up	HPGDS
30846	6.73899e-54	-21.171	209	1	HSC_e-ERY	up	EHD2
64798	7.17148e-54	-21.1618	209	1	HSC_e-ERY	up	DEPTOR
6171	1.67562e-52	-20.6967	209	1	HSC_e-ERY	up	RPL41
57460	2.81432e-52	-20.6205	209	1	HSC_e-ERY	up	PPM1H
9053	7.45806e-52	-20.4776	209	1	HSC_e-ERY	up	MAP7
4613	7.78149e-52	-20.4714	209	1	HSC_e-ERY	up	MYCN
3815	1.14384e-51	-20.415	209	1	HSC_e-ERY	up	KIT
4883	1.25141e-51	-20.4019	209	1	HSC_e-ERY	up	NPR3
8091	5.35934e-51	-20.1894	209	1	HSC_e-ERY	up	HMGA2
23576	2.18663e-50	-19.9848	209	1	HSC_e-ERY	up	DDAH1
55353	7.79812e-49	-19.4676	209	1	HSC_e-ERY	up	LAPTM4B
4232	8.98572e-49	-19.4471	209	1	HSC_e-ERY	up	MEST
284	4.84522e-47	-18.875	209	1	HSC_e-ERY	up	ANGPT1
58504	1.71553e-46	-18.6946	209	1	HSC_e-ERY	up	ARHGAP22
2078	3.88162e-46	-18.5783	209	1	HSC_e-ERY	up	ERG
151230	4.27578e-46	-18.5645	209	1	HSC_e-ERY	up	KLHL23
2653	6.18304e-46	-18.512	209	1	HSC_e-ERY	up	GCSH
1047	7.46788e-46	-18.4852	209	1	HSC_e-ERY	up	CLGN
947	1.03363e-45	-18.439	209	1	HSC_e-ERY	up	CD34
8842	1.56489e-45	-18.3801	209	1	HSC_e-ERY	up	PROM1
64288	5.75893e-45	-18.1954	209	1	HSC_e-ERY	up	ZSCAN31
79614	1.07228e-44	-18.1074	209	1	HSC_e-ERY	up	NA
5789	5.09662e-44	-17.8873	209	1	HSC_e-ERY	up	PTPRD
3206	1.45684e-43	-17.7392	209	1	HSC_e-ERY	up	HOXA10
79921	2.28856e-43	-17.6757	209	1	HSC_e-ERY	up	TCEAL4
6624	2.89319e-42	-17.3194	209	1	HSC_e-ERY	up	FSCN1
2200	6.23587e-42	-17.2119	209	1	HSC_e-ERY	up	FBN1
51186	2.93579e-41	-16.9952	209	1	HSC_e-ERY	up	TCEAL9
9633	5.55231e-41	-16.9062	209	1	HSC_e-ERY	up	TESMIN
2135	2.16722e-40	-16.7164	209	1	HSC_e-ERY	up	EXTL2
1019	2.32672e-40	-16.7065	209	1	HSC_e-ERY	up	CDK4
2624	7.23894e-40	-16.5485	209	1	HSC_e-ERY	up	GATA2
55190	1.52499e-39	-16.4449	209	1	HSC_e-ERY	up	NUDT11
55211	2.8603e-39	-16.3575	209	1	HSC_e-ERY	up	DPPA4
1359	4.65884e-39	-16.2897	209	1	HSC_e-ERY	up	CPA3
81031	6.61549e-39	-16.2411	209	1	HSC_e-ERY	up	SLC2A10
129080	8.88521e-39	-16.2002	209	1	HSC_e-ERY	up	EMID1
5358	1.98032e-38	-16.089	209	1	HSC_e-ERY	up	PLS3
57523	2.04092e-38	-16.0848	209	1	HSC_e-ERY	up	NYNRIN
79843	2.17542e-38	-16.076	209	1	HSC_e-ERY	up	FAM124B
8645	3.0125e-38	-16.0309	209	1	HSC_e-ERY	up	KCNK5
80321	7.1655e-38	-15.9109	209	1	HSC_e-ERY	up	CEP70
2949	1.03949e-37	-15.8594	209	1	HSC_e-ERY	up	GSTM5
1021	1.45881e-37	-15.8125	209	1	HSC_e-ERY	up	CDK6
56521	1.97511e-37	-15.7706	209	1	HSC_e-ERY	up	DNAJC12
23037	6.18484e-37	-15.6128	209	1	HSC_e-ERY	up	PDZD2
4211	1.05329e-36	-15.5392	209	1	HSC_e-ERY	up	MEIS1
25895	1.06002e-36	-15.5383	209	1	HSC_e-ERY	up	EEF1AKMT3
5352	2.76065e-36	-15.4061	209	1	HSC_e-ERY	up	PLOD2
400451	5.54214e-36	-15.3099	209	1	HSC_e-ERY	up	FAM174B
10606	5.67836e-36	-15.3066	209	1	HSC_e-ERY	up	PAICS
4830	2.23247e-35	-15.1177	209	1	HSC_e-ERY	up	NME1
29970	5.29781e-35	-14.9986	209	1	HSC_e-ERY	up	SCHIP1
9200	8.26116e-35	-14.9374	209	1	HSC_e-ERY	up	HACD1
64116	9.0787e-35	-14.9244	209	1	HSC_e-ERY	up	SLC39A8
2887	1.87223e-34	-14.8246	209	1	HSC_e-ERY	up	GRB10
8835	6.10586e-34	-14.6618	209	1	HSC_e-ERY	up	SOCS2
3992	1.00741e-33	-14.5929	209	1	HSC_e-ERY	up	FADS1
8476	2.26274e-33	-14.4814	209	1	HSC_e-ERY	up	CDC42BPA
1962	2.61299e-33	-14.4616	209	1	HSC_e-ERY	up	EHHADH
166647	5.02685e-33	-14.3715	209	1	HSC_e-ERY	up	ADGRA3
6659	5.84896e-33	-14.3507	209	1	HSC_e-ERY	up	SOX4
29902	9.98179e-33	-14.2771	209	1	HSC_e-ERY	up	FAM216A
6091	1.3107e-32	-14.2396	209	1	HSC_e-ERY	up	ROBO1
51309	1.48288e-32	-14.2226	209	1	HSC_e-ERY	up	ARMCX1
3355	1.66069e-32	-14.207	209	1	HSC_e-ERY	up	HTR1F
5325	1.90461e-32	-14.1881	209	1	HSC_e-ERY	up	PLAGL1
216	2.12007e-32	-14.1733	209	1	HSC_e-ERY	up	ALDH1A1
540	2.13606e-32	-14.1723	209	1	HSC_e-ERY	up	ATP7B
1789	2.51996e-32	-14.1495	209	1	HSC_e-ERY	up	DNMT3B
79070	3.23826e-32	-14.115	209	1	HSC_e-ERY	up	POGLUT2
2150	4.09736e-32	-14.0826	209	1	HSC_e-ERY	up	F2RL1
4282	4.32027e-32	-14.0753	209	1	HSC_e-ERY	up	MIF
2069	5.04599e-32	-14.0539	209	1	HSC_e-ERY	up	EREG
23331	9.61006e-32	-13.9652	209	1	HSC_e-ERY	up	TTC28
7010	9.69372e-32	-13.964	209	1	HSC_e-ERY	up	TEK
114876	1.14322e-31	-13.9413	209	1	HSC_e-ERY	up	OSBPL1A
140465	1.27924e-31	-13.9258	209	1	HSC_e-ERY	up	MYL6B
10873	1.41312e-31	-13.9121	209	1	HSC_e-ERY	up	ME3
191	1.42319e-31	-13.9111	209	1	HSC_e-ERY	up	AHCY
646278	1.60563e-31	-13.8945	209	1	HSC_e-ERY	up	PDCD6IPP2
4628	1.84658e-31	-13.8752	209	1	HSC_e-ERY	up	MYH10
2770	2.27191e-31	-13.8467	209	1	HSC_e-ERY	up	GNAI1
10360	2.55411e-31	-13.8306	209	1	HSC_e-ERY	up	NPM3
4692	3.49656e-31	-13.7873	209	1	HSC_e-ERY	up	NDN
2769	5.25827e-31	-13.7311	209	1	HSC_e-ERY	up	GNA15
51097	1.01573e-30	-13.6403	209	1	HSC_e-ERY	up	SCCPDH
79077	1.98525e-30	-13.5479	209	1	HSC_e-ERY	up	DCTPP1
7205	2.03669e-30	-13.5444	209	1	HSC_e-ERY	up	TRIP6
8204	2.07864e-30	-13.5416	209	1	HSC_e-ERY	up	NRIP1
6691	2.46951e-30	-13.5178	209	1	HSC_e-ERY	up	SPINK2
28969	2.8206e-30	-13.4995	209	1	HSC_e-ERY	up	BZW2
8777	2.85453e-30	-13.4978	209	1	HSC_e-ERY	up	MPDZ
284119	3.74049e-30	-13.4605	209	1	HSC_e-ERY	up	CAVIN1
80723	3.82629e-30	-13.4574	209	1	HSC_e-ERY	up	SLC35G2
3615	4.01649e-30	-13.4507	209	1	HSC_e-ERY	up	IMPDH2
11167	4.44052e-30	-13.4369	209	1	HSC_e-ERY	up	FSTL1
1393	4.85e-30	-13.4247	209	1	HSC_e-ERY	up	CRHBP
6319	5.77178e-30	-13.4007	209	1	HSC_e-ERY	up	SCD
2982	9.4917e-30	-13.3321	209	1	HSC_e-ERY	up	GUCY1A1
3159	1.24646e-29	-13.2944	209	1	HSC_e-ERY	up	HMGA1
4352	1.41622e-29	-13.2768	209	1	HSC_e-ERY	up	MPL
10799	1.71325e-29	-13.2505	209	1	HSC_e-ERY	up	RPP40
10497	2.67619e-29	-13.1889	209	1	HSC_e-ERY	up	UNC13B
9331	4.92357e-29	-13.1047	209	1	HSC_e-ERY	up	B4GALT6
1289	6.33118e-29	-13.0699	209	1	HSC_e-ERY	up	COL5A1
55218	6.45278e-29	-13.0673	209	1	HSC_e-ERY	up	EXD2
2956	6.66377e-29	-13.0628	209	1	HSC_e-ERY	up	MSH6
3925	6.84953e-29	-13.059	209	1	HSC_e-ERY	up	STMN1
55856	1.04034e-28	-13.0012	209	1	HSC_e-ERY	up	ACOT13
200734	1.11584e-28	-12.9915	209	1	HSC_e-ERY	up	SPRED2
1421	1.24627e-28	-12.9762	209	1	HSC_e-ERY	up	CRYGD
51133	1.33607e-28	-12.9666	209	1	HSC_e-ERY	up	KCTD3
51768	1.48832e-28	-12.9517	209	1	HSC_e-ERY	up	TM7SF3
8836	1.88505e-28	-12.919	209	1	HSC_e-ERY	up	GGH
5427	2.41286e-28	-12.8848	209	1	HSC_e-ERY	up	POLE2
54836	2.63179e-28	-12.8728	209	1	HSC_e-ERY	up	BSPRY
