Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
100	1.21557e-06	-4.99933	209	1	HSC	up	ADA
1000	1.77578e-21	-10.6632	209	1	HSC	up	CDH2
10003	5.6633e-08	-5.63342	209	1	HSC	up	NAALAD2
10040	3.23983e-10	-6.60465	209	1	HSC	up	TOM1L1
10062	3.44787e-23	-11.2253	209	1	HSC	up	NR1H3
10079	1.20445e-14	-8.31016	209	1	HSC	up	ATP9A
10099	1.97372e-06	-4.89385	209	1	HSC	up	TSPAN3
10100	6.66449e-08	-5.60102	209	1	HSC	up	TSPAN2
10126	1.46561e-11	-7.14597	209	1	HSC	up	DNAL4
10157	2.315e-16	-8.92384	209	1	HSC	up	AASS
10160	2.78193e-29	-13.1836	209	1	HSC	up	FARP1
10165	8.44253e-07	-5.07761	209	1	HSC	up	SLC25A13
10179	2.53354e-06	-4.83887	209	1	HSC	up	RBM7
10186	1.74916e-07	-5.40629	209	1	HSC	up	LHFPL6
1019	3.74344e-08	-5.71523	209	1	HSC	up	CDK4
10195	1.54502e-11	-7.13695	209	1	HSC	up	ALG3
10203	2.66147e-24	-11.5869	209	1	HSC	up	CALCRL
10205	7.38227e-13	-7.64706	209	1	HSC	up	MPZL2
1021	2.08915e-10	-6.68296	209	1	HSC	up	CDK6
10217	1.82999e-07	-5.39706	209	1	HSC	up	CTDSPL
10229	2.35722e-06	-4.8548	209	1	HSC	up	COQ7
10252	9.06682e-12	-7.22779	209	1	HSC	up	SPRY1
10253	2.99092e-10	-6.61896	209	1	HSC	up	SPRY2
10327	1.30566e-11	-7.16571	209	1	HSC	up	AKR1A1
10329	1.24259e-10	-6.77496	209	1	HSC	up	RXYLT1
10360	1.04521e-09	-6.39275	209	1	HSC	up	NPM3
10389	3.17406e-09	-6.18763	209	1	HSC	up	SCML2
10402	7.31054e-07	-5.10829	209	1	HSC	up	ST3GAL6
10419	8.46146e-07	-5.07713	209	1	HSC	up	PRMT5
10451	3.26544e-09	-6.18234	209	1	HSC	up	VAV3
10455	3.65924e-06	-4.75707	209	1	HSC	up	ECI2
10461	5.02886e-14	-8.083	209	1	HSC	up	MERTK
1047	3.53112e-19	-9.8949	209	1	HSC	up	CLGN
10477	2.6245e-06	-4.83106	209	1	HSC	up	UBE2E3
10489	3.98128e-09	-6.14526	209	1	HSC	up	LRRC41
10497	8.51715e-13	-7.62349	209	1	HSC	up	UNC13B
10527	1.4415e-06	-4.96242	209	1	HSC	up	IPO7
10549	2.25649e-07	-5.35409	209	1	HSC	up	PRDX4
10560	1.48273e-07	-5.43998	209	1	HSC	up	SLC19A2
10576	2.67863e-06	-4.82654	209	1	HSC	up	CCT2
10586	3.4218e-06	-4.77208	209	1	HSC	up	MAB21L2
10591	3.50269e-08	-5.7283	209	1	HSC	up	DNPH1
10605	4.9658e-07	-5.19007	209	1	HSC	up	PAIP1
10606	2.36939e-08	-5.80471	209	1	HSC	up	PAICS
10613	5.17421e-10	-6.52047	209	1	HSC	up	ERLIN1
10622	3.35778e-06	-4.77629	209	1	HSC	up	POLR3G
10626	3.37075e-06	-4.77543	209	1	HSC	up	TRIM16
10638	6.05782e-09	-6.06625	209	1	HSC	up	SPHAR
10678	2.53288e-07	-5.33028	209	1	HSC	up	B3GNT2
10693	2.47603e-06	-4.84394	209	1	HSC	up	CCT6B
1070	1.1416e-06	-5.01288	209	1	HSC	up	CETN3
10713	5.85315e-07	-5.15542	209	1	HSC	up	USP39
10745	1.98631e-11	-7.0939	209	1	HSC	up	PHTF1
10758	2.05998e-08	-5.8319	209	1	HSC	up	TRAF3IP2
10765	1.02902e-13	-7.96801	209	1	HSC	up	KDM5B
10769	8.94723e-11	-6.83274	209	1	HSC	up	PLK2
