Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
79698	6.26247e-22	-10.8126	209	1	NK	up	ZMAT4
4684	8.06513e-22	-10.7764	209	1	NK	up	NCAM1
11314	1.19767e-20	-10.3882	209	1	NK	up	CD300A
3805	1.14021e-19	-10.0605	209	1	NK	up	KIR2DL4
8807	4.58935e-16	-8.81894	209	1	NK	up	IL18RAP
9510	1.28548e-15	-8.66003	209	1	NK	up	ADAMTS1
3823	2.37987e-15	-8.56438	209	1	NK	up	KLRC3
51348	5.08623e-15	-8.44576	209	1	NK	up	KLRF1
5729	1.16103e-14	-8.31596	209	1	NK	up	PTGDR
115653	2.33775e-14	-8.20514	209	1	NK	up	KIR3DL3
57292	7.05436e-14	-8.02875	209	1	NK	up	KIR2DL5A
8302	6.11909e-13	-7.67793	209	1	NK	up	KLRC4
3803	9.61552e-13	-7.60348	209	1	NK	up	KIR2DL2
6978	1.33338e-12	-7.54938	209	1	NK	up	TRGV5
3811	2.38772e-12	-7.45245	209	1	NK	up	KIR3DL1
6846	3.31944e-12	-7.39733	209	1	NK	up	XCL2
6375	4.03704e-12	-7.36448	209	1	NK	up	XCL1
3812	4.53366e-12	-7.34497	209	1	NK	up	KIR3DL2
29125	4.65326e-12	-7.34058	209	1	NK	up	C11orf21
79977	5.38957e-12	-7.31583	209	1	NK	up	GRHL2
3821	1.33582e-11	-7.16181	209	1	NK	up	KLRC1
30009	2.04715e-11	-7.08872	209	1	NK	up	TBX21
3810	2.26484e-11	-7.07135	209	1	NK	up	KIR2DS5
3560	3.1832e-11	-7.01268	209	1	NK	up	IL2RB
3804	3.98849e-11	-6.97364	209	1	NK	up	KIR2DL3
3824	4.08252e-11	-6.9696	209	1	NK	up	KLRD1
10578	5.0348e-11	-6.93319	209	1	NK	up	GNLY
2214	5.74748e-11	-6.91014	209	1	NK	up	FCGR3A
8787	7.11668e-11	-6.87283	209	1	NK	up	RGS9
63916	1.09051e-10	-6.79796	209	1	NK	up	ELMO2
57493	1.30435e-10	-6.7664	209	1	NK	up	HEG1
864	2.48148e-10	-6.65231	209	1	NK	up	RUNX3
55655	2.67029e-10	-6.63922	209	1	NK	up	NLRP2
8809	3.26539e-10	-6.60325	209	1	NK	up	IL18R1
4092	3.37049e-10	-6.59757	209	1	NK	up	SMAD7
83988	4.74206e-10	-6.5362	209	1	NK	up	NCALD
5998	4.76818e-10	-6.53521	209	1	NK	up	RGS3
4818	4.79965e-10	-6.53403	209	1	NK	up	NKG7
3807	5.0828e-10	-6.52369	209	1	NK	up	NA
976	8.38766e-10	-6.43289	209	1	NK	up	ADGRE5
6498	9.87599e-10	-6.40311	209	1	NK	up	SKIL
200316	2.525e-09	-6.23023	209	1	NK	up	APOBEC3F
5782	2.59517e-09	-6.22514	209	1	NK	up	PTPN12
353189	3.60877e-09	-6.16365	209	1	NK	up	SLCO4C1
60489	4.62713e-09	-6.11704	209	1	NK	up	APOBEC3G
3398	4.96962e-09	-6.1036	209	1	NK	up	ID2
8459	5.23302e-09	-6.09387	209	1	NK	up	TPST2
838	5.78543e-09	-6.07494	209	1	NK	up	CASP5
324	6.06242e-09	-6.06611	209	1	NK	up	APC
2793	7.78147e-09	-6.0188	209	1	NK	up	GNGT2
54438	8.67783e-09	-5.99806	209	1	NK	up	GFOD1
5141	9.02007e-09	-5.99069	209	1	NK	up	PDE4A
3982	1.28612e-08	-5.92282	209	1	NK	up	LIM2
3687	1.30847e-08	-5.91952	209	1	NK	up	ITGAX
3001	1.42787e-08	-5.90272	209	1	NK	up	GZMA
23108	2.01189e-08	-5.83649	209	1	NK	up	RAP1GAP2
79899	2.22311e-08	-5.81711	209	1	NK	up	PRR5L
51341	2.46512e-08	-5.797	209	1	NK	up	ZBTB7A
54843	2.68704e-08	-5.78019	209	1	NK	up	SYTL2
57823	2.82646e-08	-5.77031	209	1	NK	up	SLAMF7
81563	2.99375e-08	-5.75907	209	1	NK	up	C1orf21
23092	3.0006e-08	-5.75862	209	1	NK	up	ARHGAP26
7402	3.01978e-08	-5.75738	209	1	NK	up	UTRN
3802	3.09042e-08	-5.75285	209	1	NK	up	KIR2DL1
51571	3.19391e-08	-5.7464	209	1	NK	up	FAM49B
2140	3.23449e-08	-5.74393	209	1	NK	up	EYA3
79180	3.29626e-08	-5.74022	209	1	NK	up	EFHD2
4792	3.43754e-08	-5.73198	209	1	NK	up	NFKBIA
11000	5.08184e-08	-5.6549	209	1	NK	up	SLC27A3
2215	7.61884e-08	-5.5743	209	1	NK	up	FCGR3B
3820	7.77669e-08	-5.57019	209	1	NK	up	KLRB1
5551	8.31792e-08	-5.55672	209	1	NK	up	PRF1
29990	9.7584e-08	-5.52463	209	1	NK	up	PILRB
4603	1.03055e-07	-5.51365	209	1	NK	up	MYBL1
23229	1.0799e-07	-5.50421	209	1	NK	up	ARHGEF9
7049	1.15164e-07	-5.49122	209	1	NK	up	TGFBR3
6655	1.17068e-07	-5.48791	209	1	NK	up	SOS2
154	1.23132e-07	-5.47769	209	1	NK	up	ADRB2
26140	1.25294e-07	-5.47417	209	1	NK	up	TTLL3
9022	1.5634e-07	-5.4292	209	1	NK	up	CLIC3
22914	1.6111e-07	-5.42307	209	1	NK	up	KLRK1
27087	1.86423e-07	-5.39327	209	1	NK	up	B3GAT1
5159	2.04019e-07	-5.37478	209	1	NK	up	PDGFRB
5521	2.56174e-07	-5.32794	209	1	NK	up	PPP2R2B
11126	2.75208e-07	-5.31313	209	1	NK	up	CD160
3683	2.86683e-07	-5.30468	209	1	NK	up	ITGAL
57017	3.48618e-07	-5.26407	209	1	NK	up	COQ9
11118	3.52207e-07	-5.26194	209	1	NK	up	BTN3A2
3809	3.65521e-07	-5.25421	209	1	NK	up	KIR2DS4
11098	3.69788e-07	-5.25179	209	1	NK	up	PRSS23
3458	4.07815e-07	-5.23135	209	1	NK	up	IFNG
8227	4.13683e-07	-5.22837	209	1	NK	up	AKAP17A
115	4.18842e-07	-5.22577	209	1	NK	up	ADCY9
51411	4.40975e-07	-5.21499	209	1	NK	up	BIN2
9580	5.10015e-07	-5.18445	209	1	NK	up	SOX13
2268	5.21058e-07	-5.17994	209	1	NK	up	FGR
55020	5.28205e-07	-5.17707	209	1	NK	up	TTC38
8837	5.32881e-07	-5.17522	209	1	NK	up	CFLAR
3002	5.65488e-07	-5.16269	209	1	NK	up	GZMB
79661	5.87029e-07	-5.1548	209	1	NK	up	NEIL1
3806	5.87619e-07	-5.15459	209	1	NK	up	KIR2DS1
1521	6.99019e-07	-5.11781	209	1	NK	up	CTSW
5243	7.40652e-07	-5.10552	209	1	NK	up	ABCB1
57136	9.13476e-07	-5.06076	209	1	NK	up	APMAP
3903	9.32912e-07	-5.05625	209	1	NK	up	LAIR1
28996	1.04132e-06	-5.03267	209	1	NK	up	HIPK2
5786	1.14916e-06	-5.01145	209	1	NK	up	PTPRA
10911	1.34816e-06	-4.97694	209	1	NK	up	UTS2
7305	1.46658e-06	-4.95867	209	1	NK	up	TYROBP
9205	1.46736e-06	-4.95856	209	1	NK	up	ZMYM5
389	1.49372e-06	-4.95469	209	1	NK	up	RHOC
9172	1.69707e-06	-4.92689	209	1	NK	up	MYOM2
1524	1.97396e-06	-4.89383	209	1	NK	up	CX3CR1
6876	2.04284e-06	-4.8863	209	1	NK	up	TAGLN
2796	2.27487e-06	-4.86264	209	1	NK	up	GNRH1
8934	2.28048e-06	-4.8621	209	1	NK	up	RAB29
51744	2.37864e-06	-4.8528	209	1	NK	up	CD244
9437	2.65967e-06	-4.82812	209	1	NK	up	NCR1
7704	2.71997e-06	-4.82315	209	1	NK	up	ZBTB16
3689	3.16159e-06	-4.78972	209	1	NK	up	ITGB2
59307	3.46169e-06	-4.76949	209	1	NK	up	SIGIRR
22908	3.79011e-06	-4.7492	209	1	NK	up	SACM1L
27036	4.16412e-06	-4.72807	209	1	NK	up	SIGLEC7
6574	4.27528e-06	-4.72215	209	1	NK	up	SLC20A1
29021	4.30433e-06	-4.72062	209	1	NK	up	NA
84525	4.55876e-06	-4.70768	209	1	NK	up	HOPX
55786	4.95295e-06	-4.68894	209	1	NK	up	ZNF415
313	5.01202e-06	-4.68626	209	1	NK	up	AOAH
56895	5.12541e-06	-4.68119	209	1	NK	up	AGPAT4
26207	5.16771e-06	-4.67933	209	1	NK	up	PITPNC1
93594	5.1701e-06	-4.67923	209	1	NK	up	TBC1D31
5544	5.46104e-06	-4.66681	209	1	NK	up	PRB3
54596	5.53157e-06	-4.66389	209	1	NK	up	L1TD1
10653	4.05382e-18	9.53392	209	-1	NK	down	SPINT2
6202	1.28252e-12	7.55582	209	-1	NK	down	RPS8
83700	1.79162e-12	7.50032	209	-1	NK	down	JAM3
1350	3.04572e-12	7.41175	209	-1	NK	down	COX7C
54539	3.3014e-12	7.39824	209	-1	NK	down	NDUFB11
10276	6.35449e-12	7.28802	209	-1	NK	down	NET1
4085	1.49386e-11	7.14271	209	-1	NK	down	MAD2L1
2197	1.66376e-11	7.12428	209	-1	NK	down	FAU
3159	1.69564e-11	7.12103	209	-1	NK	down	HMGA1
7485	3.90719e-11	6.97721	209	-1	NK	down	WRB
654434	4.27398e-11	6.96165	209	-1	NK	down	SNHG20
9551	4.49105e-11	6.95305	209	-1	NK	down	ATP5MF
1340	4.77403e-11	6.94244	209	-1	NK	down	COX6B1
9588	4.82381e-11	6.94063	209	-1	NK	down	PRDX6
2050	1.28452e-10	6.76911	209	-1	NK	down	EPHB4
4602	3.89147e-10	6.57178	209	-1	NK	down	MYB
54874	4.32491e-10	6.55279	209	-1	NK	down	FNBP1L
23507	7.2908e-10	6.45838	209	-1	NK	down	LRRC8B
23658	9.47559e-10	6.41067	209	-1	NK	down	LSM5
5052	1.08057e-09	6.38667	209	-1	NK	down	PRDX1
6209	1.08876e-09	6.38529	209	-1	NK	down	RPS15
60485	1.24503e-09	6.36073	209	-1	NK	down	SAV1
351	1.29062e-09	6.35413	209	-1	NK	down	APP
256987	1.89724e-09	6.28319	209	-1	NK	down	SERINC5
5693	2.30747e-09	6.24695	209	-1	NK	down	PSMB5
6159	4.34777e-09	6.12874	209	-1	NK	down	RPL29
7311	4.80382e-09	6.10999	209	-1	NK	down	UBA52
58526	5.35365e-09	6.08958	209	-1	NK	down	MID1IP1
4697	6.29897e-09	6.05887	209	-1	NK	down	NDUFA4
2876	7.30454e-09	6.03081	209	-1	NK	down	GPX1
8334	7.52817e-09	6.02508	209	-1	NK	down	HIST1H2AC
6541	7.55972e-09	6.02429	209	-1	NK	down	SLC7A1
23593	9.23426e-09	5.98622	209	-1	NK	down	HEBP2
7295	1.24655e-08	5.92882	209	-1	NK	down	TXN
3099	1.289e-08	5.92239	209	-1	NK	down	HK2
57128	1.41015e-08	5.90513	209	-1	NK	down	LYRM4
29964	1.56994e-08	5.88445	209	-1	NK	down	PRICKLE4
55163	1.96398e-08	5.84116	209	-1	NK	down	PNPO
220717	2.10415e-08	5.82779	209	-1	NK	down	RPLP0P6
60436	2.18634e-08	5.82035	209	-1	NK	down	TGIF2
10184	2.49495e-08	5.79466	209	-1	NK	down	LHFPL2
6181	2.56659e-08	5.78914	209	-1	NK	down	RPLP2
4953	2.7313e-08	5.777	209	-1	NK	down	ODC1
55327	2.75541e-08	5.77529	209	-1	NK	down	LIN7C
6748	3.33439e-08	5.73796	209	-1	NK	down	SSR4
900	3.54893e-08	5.72572	209	-1	NK	down	CCNG1
262	3.62111e-08	5.72177	209	-1	NK	down	AMD1
64777	3.73992e-08	5.71542	209	-1	NK	down	RMND5B
26586	4.32191e-08	5.68693	209	-1	NK	down	CKAP2
23531	4.46481e-08	5.68051	209	-1	NK	down	MMD
25873	4.48052e-08	5.67981	209	-1	NK	down	RPL36
55216	4.64842e-08	5.67254	209	-1	NK	down	NKAPD1
4601	5.73068e-08	5.63107	209	-1	NK	down	MXI1
514	6.32811e-08	5.61134	209	-1	NK	down	ATP5F1E
23327	6.50616e-08	5.60582	209	-1	NK	down	NEDD4L
6566	6.90409e-08	5.59398	209	-1	NK	down	SLC16A1
22930	7.23248e-08	5.5847	209	-1	NK	down	RAB3GAP1
4001	7.3385e-08	5.58179	209	-1	NK	down	LMNB1
2775	7.78915e-08	5.56987	209	-1	NK	down	GNAO1
10643	8.6257e-08	5.54943	209	-1	NK	down	IGF2BP3
340562	8.90555e-08	5.54302	209	-1	NK	down	SATL1
5324	8.92585e-08	5.54256	209	-1	NK	down	PLAG1
1203	9.66284e-08	5.52661	209	-1	NK	down	CLN5
10210	9.97482e-08	5.52022	209	-1	NK	down	TOPORS
27075	1.00026e-07	5.51966	209	-1	NK	down	TSPAN13
109	1.11072e-07	5.49853	209	-1	NK	down	ADCY3
23155	1.20824e-07	5.48152	209	-1	NK	down	CLCC1
53335	1.21319e-07	5.48069	209	-1	NK	down	BCL11A
27018	1.23797e-07	5.4766	209	-1	NK	down	BEX3
80148	1.24681e-07	5.47516	209	-1	NK	down	PQLC1
6001	1.263e-07	5.47255	209	-1	NK	down	RGS10
6206	1.27507e-07	5.47062	209	-1	NK	down	RPS12
219464	1.31988e-07	5.46362	209	-1	NK	down	OR5T2
51018	1.33024e-07	5.46203	209	-1	NK	down	RRP15
6477	1.35956e-07	5.45761	209	-1	NK	down	SIAH1
10289	1.384e-07	5.45399	209	-1	NK	down	EIF1B
1854	1.55512e-07	5.43028	209	-1	NK	down	DUT
64110	1.73498e-07	5.40796	209	-1	NK	down	MAGEF1
55256	1.73859e-07	5.40753	209	-1	NK	down	ADI1
7037	1.74129e-07	5.40721	209	-1	NK	down	TFRC
8766	1.79702e-07	5.40078	209	-1	NK	down	RAB11A
25842	1.80407e-07	5.39998	209	-1	NK	down	ASF1A
2628	1.89065e-07	5.39039	209	-1	NK	down	GATM
387263	1.9373e-07	5.38539	209	-1	NK	down	C6orf120
79133	1.98285e-07	5.38063	209	-1	NK	down	NDUFAF5
25801	2.08879e-07	5.36995	209	-1	NK	down	GCA
8030	2.10009e-07	5.36885	209	-1	NK	down	CCDC6
55652	2.1166e-07	5.36724	209	-1	NK	down	SLC48A1
1647	2.20924e-07	5.35844	209	-1	NK	down	GADD45A
6856	2.35523e-07	5.34527	209	-1	NK	down	SYPL1
9538	2.3628e-07	5.34461	209	-1	NK	down	EI24
91300	2.48358e-07	5.33433	209	-1	NK	down	R3HDM4
23135	2.50269e-07	5.33275	209	-1	NK	down	KDM6B
10591	2.51098e-07	5.33207	209	-1	NK	down	DNPH1
4000	2.70475e-07	5.31672	209	-1	NK	down	LMNA
4213	3.01203e-07	5.29444	209	-1	NK	down	MEIS3P1
29937	3.01907e-07	5.29396	209	-1	NK	down	NENF
5473	3.04011e-07	5.29252	209	-1	NK	down	PPBP
115123	3.11495e-07	5.28748	209	-1	NK	down	MARCH3
79690	3.18959e-07	5.28256	209	-1	NK	down	GAL3ST4
9859	3.2408e-07	5.27925	209	-1	NK	down	CEP170
9650	3.44607e-07	5.26648	209	-1	NK	down	MTFR1
8728	3.72299e-07	5.25038	209	-1	NK	down	ADAM19
6208	3.72354e-07	5.25035	209	-1	NK	down	RPS14
113251	3.89544e-07	5.24093	209	-1	NK	down	LARP4
11130	3.95874e-07	5.23757	209	-1	NK	down	ZWINT
3047	4.10159e-07	5.23016	209	-1	NK	down	HBG1
4234	4.28552e-07	5.22098	209	-1	NK	down	METTL1
10632	4.40538e-07	5.2152	209	-1	NK	down	ATP5MG
6137	4.47665e-07	5.21184	209	-1	NK	down	RPL13
81618	4.50882e-07	5.21033	209	-1	NK	down	ITM2C
5213	4.56652e-07	5.20767	209	-1	NK	down	PFKM
272	4.60238e-07	5.20603	209	-1	NK	down	AMPD3
7388	5.14128e-07	5.18276	209	-1	NK	down	UQCRH
665	5.19014e-07	5.18077	209	-1	NK	down	BNIP3L
80742	5.3769e-07	5.17332	209	-1	NK	down	PRR3
8458	5.39113e-07	5.17277	209	-1	NK	down	TTF2
4052	5.51335e-07	5.16804	209	-1	NK	down	LTBP1
3043	5.58592e-07	5.16528	209	-1	NK	down	HBB
6782	5.5965e-07	5.16488	209	-1	NK	down	HSPA13
