Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
202134	1.49187e-64	-24.9351	209	1	TCELL	up	FAM153B
4753	1.02776e-63	-24.6289	209	1	TCELL	up	NELL2
286440	3.2012e-59	-23.018	209	1	TCELL	up	NA
1606	5.10676e-59	-22.9464	209	1	TCELL	up	DGKA
916	3.2652e-57	-22.3137	209	1	TCELL	up	CD3E
1039	1.73511e-54	-21.3725	209	1	TCELL	up	CDR2
3575	1.96994e-53	-21.0123	209	1	TCELL	up	IL7R
917	1.62903e-52	-20.7008	209	1	TCELL	up	CD3G
28517	1.77969e-52	-20.6878	209	1	TCELL	up	TRDV2
9235	3.39962e-52	-20.5928	209	1	TCELL	up	IL32
27065	5.20581e-52	-20.5303	209	1	TCELL	up	NSG1
28755	1.33485e-51	-20.3924	209	1	TCELL	up	TRAC
915	3.07967e-51	-20.2703	209	1	TCELL	up	CD3D
51070	3.053e-50	-19.9363	209	1	TCELL	up	NOSIP
3590	4.92025e-50	-19.8671	209	1	TCELL	up	IL11RA
9806	1.87466e-49	-19.6734	209	1	TCELL	up	SPOCK2
5140	2.08012e-49	-19.6583	209	1	TCELL	up	PDE3B
940	7.43973e-49	-19.4744	209	1	TCELL	up	CD28
5644	1.16747e-48	-19.4094	209	1	TCELL	up	PRSS1
27040	2.76514e-48	-19.2854	209	1	TCELL	up	LAT
3932	2.57485e-47	-18.9654	209	1	TCELL	up	LCK
26119	8.3375e-47	-18.7975	209	1	TCELL	up	LDLRAP1
22848	2.06635e-46	-18.668	209	1	TCELL	up	AAK1
29851	8.10939e-46	-18.4735	209	1	TCELL	up	ICOS
4118	1.11042e-45	-18.4288	209	1	TCELL	up	MAL
3702	2.73201e-45	-18.3011	209	1	TCELL	up	ITK
914	5.68223e-45	-18.1973	209	1	TCELL	up	CD2
22927	3.39798e-44	-17.9445	209	1	TCELL	up	HABP4
28568	1.63445e-43	-17.723	209	1	TCELL	up	TRBV19
