ENTREZID	SYMBOL
202134	FAM153B
4753	NELL2
286440	NA
1606	DGKA
916	CD3E
1039	CDR2
3575	IL7R
917	CD3G
28517	TRDV2
9235	IL32
27065	NSG1
28755	TRAC
915	CD3D
51070	NOSIP
3590	IL11RA
9806	SPOCK2
5140	PDE3B
940	CD28
5644	PRSS1
27040	LAT
3932	LCK
26119	LDLRAP1
22848	AAK1
29851	ICOS
4118	MAL
3702	ITK
914	CD2
22927	HABP4
28568	TRBV19
1803	DPP4
8718	TNFRSF25
161291	TMEM30B
6932	TCF7
6095	RORA
151835	CPNE9
6709	SPTAN1
23348	DOCK9
7754	ZNF204P
9737	GPRASP1
4306	NR3C2
64400	AKTIP
643641	ZNF862
10225	CD96
321	APBA2
4494	MT1F
939	CD27
8464	SUPT3H
113791	PIK3IP1
4674	NAP1L2
80162	PGGHG
8556	CDC14A
7597	ZBTB25
57535	KIAA1324
9814	SFI1
3097	HIVEP2
22990	PCNX1
55008	HERC6
664	BNIP3
50852	TRAT1
23178	PASK
55268	ECHDC2
3738	KCNA3
57134	MAN1C1
2625	GATA3
3985	LIMK2
3337	DNAJB1
11320	MGAT4A
9744	ACAP1
10207	PATJ
399665	FAM102A
387751	GVINP1
55450	CAMK2N1
54463	RETREG1
8631	SKAP1
23224	SYNE2
54462	CCSER2
26207	PITPNC1
8445	DYRK2
5588	PRKCQ
79652	TMEM204
56950	SMYD2
923	CD6
401428	OR2A20P
1107	CHD3
6775	STAT4
28566	TRBV21-1
7535	ZAP70
54981	NMRK1
6314	ATXN7
23336	SYNM
9397	NMT2
3800	KIF5C
6843	VAMP1
55139	ANKZF1
5583	PRKCH
80342	TRAF3IP3
89845	ABCC10
57449	PLEKHG5
5920	PLAAT4
921	CD5
11083	DIDO1
11123	RCAN3
8821	INPP4B
79961	DENND2D
7378	UPP1
2734	GLG1
5727	PTCH1
23368	PPP1R13B
23102	TBC1D2B
11278	KLF12
994	CDC25B
64781	CERK
57602	USP36
79710	MORC4
11059	WWP1
80833	APOL3
2053	EPHX2
9138	ARHGEF1
23461	ABCA5
9830	TRIM14
8911	CACNA1I
23345	SYNE1
347902	AMIGO2
1540	CYLD
2534	FYN
26152	ZNF337
472	ATM
729030	NA
26034	IPCEF1
221061	FAM171A1
360	AQP3
1795	DOCK3
55818	KDM3A
8717	TRADD
92106	OXNAD1
22982	DIP2C
10500	SEMA6C
54861	SNRK
3268	AGFG2
155066	ATP6V0E2
51176	LEF1
6304	SATB1
9372	ZFYVE9
2633	GBP1
406	ARNTL
55188	RIC8B
22861	NLRP1
55423	SIRPG
64699	TMPRSS3
23059	CLUAP1
387535	NA
2533	FYB1
2113	ETS1
55337	SHFL
79634	SCRN3
8519	IFITM1
919	CD247
4068	SH2D1A
63926	ANKEF1
9531	BAG3
5295	PIK3R1
116828	N4BP2L2-IT2
5934	RBL2
56990	CDC42SE2
3695	ITGB7
6504	SLAMF1
10125	RASGRP1
23214	XPO6
25956	SEC31B
115817	DHRS1
57062	DDX24
57509	MTUS1
53405	CLIC5
6772	STAT1
80169	CTC1
55086	RADX
23484	LEPROTL1
55340	GIMAP5
57048	PLSCR3
8871	SYNJ2
27240	SIT1
1120	CHKB
23526	ARHGAP45
6638	SNRPN
476	ATP1A1
3710	ITPR3
26018	LRIG1
23253	ANKRD12
23275	POFUT2
657	BMPR1A
94431	NA
149628	PYHIN1
4646	MYO6
4063	LY9
64061	TSPYL2
6448	SGSH
253980	KCTD13
154881	KCTD7
2026	ENO2
926	CD8B
5527	PPP2R5C
253461	ZBTB38
4297	KMT2A
8555	CDC14B
9057	SLC7A6
440	ASNS
5504	PPP1R2
59307	SIGIRR
8681	JMJD7-PLA2G4B
79441	HAUS3
9648	GCC2
818	CAMK2G
79668	PARP8
276	AMY1A
55619	DOCK10
