Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
386757	6.35521e-106	-43.0852	209	1	l-ERY	up	SLC6A10P
6535	6.54942e-103	-41.5179	209	1	l-ERY	up	SLC6A8
5792	6.4787e-95	-37.573	209	1	l-ERY	up	PTPRF
6513	2.529e-90	-35.4386	209	1	l-ERY	up	SLC2A1
23039	1.19723e-83	-32.4914	209	1	l-ERY	up	XPO7
5909	2.76886e-83	-32.3356	209	1	l-ERY	up	RAP1GAP
286	3.35883e-79	-30.6224	209	1	l-ERY	up	ANK1
7111	6.57483e-79	-30.5023	209	1	l-ERY	up	TMOD1
2039	1.00977e-78	-30.4258	209	1	l-ERY	up	DMTN
55071	2.11469e-78	-30.2942	209	1	l-ERY	up	C9orf40
63891	2.77626e-77	-29.8386	209	1	l-ERY	up	RNF123
55432	1.67603e-76	-29.5231	209	1	l-ERY	up	YOD1
996	1.20739e-75	-29.1789	209	1	l-ERY	up	CDC27
682	8.83387e-75	-28.8345	209	1	l-ERY	up	BSG
3049	2.95498e-73	-28.233	209	1	l-ERY	up	HBQ1
23770	3.51587e-73	-28.2034	209	1	l-ERY	up	FKBP8
26499	3.76851e-73	-28.1916	209	1	l-ERY	up	PLEK2
10900	5.27168e-73	-28.1345	209	1	l-ERY	up	RUNDC3A
6248	1.10285e-72	-28.0092	209	1	l-ERY	up	RSC1A1
9429	2.00534e-72	-27.908	209	1	l-ERY	up	ABCG2
80700	7.02564e-72	-27.6964	209	1	l-ERY	up	UBXN6
8818	1.38513e-70	-27.1969	209	1	l-ERY	up	DPM2
63893	2.11754e-70	-27.1262	209	1	l-ERY	up	UBE2O
23305	5.03769e-70	-26.9822	209	1	l-ERY	up	ACSL6
4661	1.36592e-69	-26.8169	209	1	l-ERY	up	MYT1
9895	2.56632e-69	-26.7128	209	1	l-ERY	up	TECPR2
9902	7.69786e-69	-26.5318	209	1	l-ERY	up	MRC2
79065	5.3196e-68	-26.2151	209	1	l-ERY	up	ATG9A
482	7.22845e-68	-26.165	209	1	l-ERY	up	ATP1B2
8131	9.15318e-68	-26.1265	209	1	l-ERY	up	NPRL3
2987	1.28655e-67	-26.071	209	1	l-ERY	up	GUK1
7328	6.15868e-67	-25.8166	209	1	l-ERY	up	UBE2H
997	2.01038e-66	-25.6253	209	1	l-ERY	up	CDC34
65018	3.58057e-66	-25.5323	209	1	l-ERY	up	PINK1
3044	4.38114e-66	-25.4998	209	1	l-ERY	up	HBBP1
55796	3.92495e-65	-25.1481	209	1	l-ERY	up	MBNL3
22936	4.32657e-65	-25.1325	209	1	l-ERY	up	ELL2
2309	1.02189e-64	-24.9954	209	1	l-ERY	up	FOXO3
3792	1.43403e-64	-24.9414	209	1	l-ERY	up	KEL
5886	2.47727e-64	-24.8544	209	1	l-ERY	up	RAD23A
573	4.23443e-64	-24.7693	209	1	l-ERY	up	BAG1
6006	6.3475e-64	-24.7052	209	1	l-ERY	up	RHCE
3046	8.71246e-64	-24.655	209	1	l-ERY	up	HBE1
6583	1.759e-63	-24.5439	209	1	l-ERY	up	SLC22A4
7052	2.03238e-63	-24.5211	209	1	l-ERY	up	TGM2
6710	9.95785e-63	-24.2709	209	1	l-ERY	up	SPTB
420	1.12098e-62	-24.2523	209	1	l-ERY	up	ART4
7293	2.62463e-62	-24.1189	209	1	l-ERY	up	TNFRSF4
80256	3.08536e-62	-24.0936	209	1	l-ERY	up	FAM214B
3029	4.22498e-62	-24.0444	209	1	l-ERY	up	HAGH
1510	6.46397e-62	-23.978	209	1	l-ERY	up	CTSE
7001	7.7653e-62	-23.9493	209	1	l-ERY	up	PRDX2
51400	1.23189e-61	-23.8774	209	1	l-ERY	up	PPME1
3145	2.00515e-61	-23.8015	209	1	l-ERY	up	HMBS
222642	2.68992e-61	-23.7558	209	1	l-ERY	up	TSPO2
25959	5.70757e-60	-23.283	209	1	l-ERY	up	KANK2
80344	1.20498e-59	-23.168	209	1	l-ERY	up	DCAF11
9921	2.14625e-59	-23.0793	209	1	l-ERY	up	RNF10
2532	4.34276e-59	-22.9712	209	1	l-ERY	up	ACKR1
23365	5.37403e-59	-22.9386	209	1	l-ERY	up	ARHGEF12
2995	1.2289e-58	-22.8122	209	1	l-ERY	up	GYPC
286451	1.5834e-58	-22.7735	209	1	l-ERY	up	YIPF6
80127	3.87797e-58	-22.637	209	1	l-ERY	up	BBOF1
80323	1.06978e-57	-22.4828	209	1	l-ERY	up	CCDC68
54498	1.61035e-57	-22.4207	209	1	l-ERY	up	SMOX
4303	2.87087e-57	-22.3332	209	1	l-ERY	up	FOXO4
9604	3.66221e-57	-22.2963	209	1	l-ERY	up	RNF14
163	3.69327e-57	-22.2951	209	1	l-ERY	up	AP2B1
57610	6.2572e-57	-22.2154	209	1	l-ERY	up	RANBP10
8775	2.11895e-56	-22.0315	209	1	l-ERY	up	NAPA
5296	3.46807e-56	-21.9574	209	1	l-ERY	up	PIK3R2
84669	1.88614e-55	-21.7035	209	1	l-ERY	up	USP32
5526	2.08399e-55	-21.6885	209	1	l-ERY	up	PPP2R5B
79901	3.914e-55	-21.5944	209	1	l-ERY	up	CYBRD1
358	7.35604e-55	-21.5002	209	1	l-ERY	up	AQP1
56180	8.60542e-55	-21.4768	209	1	l-ERY	up	MOSPD1
10058	1.35331e-54	-21.4094	209	1	l-ERY	up	ABCB6
54997	2.32322e-54	-21.3291	209	1	l-ERY	up	TESC
25907	2.38127e-54	-21.3254	209	1	l-ERY	up	TMEM158
6005	2.55564e-54	-21.3149	209	1	l-ERY	up	RHAG
3257	3.21445e-54	-21.2808	209	1	l-ERY	up	HPS1
11080	6.96822e-54	-21.1661	209	1	l-ERY	up	DNAJB4
4784	1.0188e-53	-21.1098	209	1	l-ERY	up	NFIX
2996	1.02687e-53	-21.1086	209	1	l-ERY	up	GYPE
8991	1.31939e-53	-21.0715	209	1	l-ERY	up	SELENBP1
730021	1.5792e-53	-21.0449	209	1	l-ERY	up	LOC730021
3848	2.74914e-53	-20.963	209	1	l-ERY	up	KRT1
10107	2.97235e-53	-20.9515	209	1	l-ERY	up	TRIM10
10444	7.08296e-53	-20.8234	209	1	l-ERY	up	ZER1
7102	4.71567e-52	-20.5448	209	1	l-ERY	up	TSPAN7
210	5.04628e-52	-20.5349	209	1	l-ERY	up	ALAD
9917	7.63408e-52	-20.4742	209	1	l-ERY	up	FAM20B
51319	9.94063e-52	-20.4355	209	1	l-ERY	up	RSRC1
26502	3.15646e-51	-20.2667	209	1	l-ERY	up	NARF
