## Jerby-Anron et al. 2018. A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade
## Table S3A. Cell type signatures and markers used for cell classification; related to Figure 1.
ENDOTHELIAL.CELL	STROMAL.CELL	CAF	BASOPHILE	B.CELL	EOSINOPHIL	ERYTHROCYTE	MAST.CELL	MDSC	MEGAKAROCYTE	MYELOID.DENDRITIC.CELL	NAIVE.CD4.T.CELL	NEUTROPHIL	NK.CELL	PLASMACYTOID.DENDRITIC.CELL	PLATELET	T.FOLLICULAR.HELPER	TH1	TH2	TH9	TH17	TH22	TREG.ANRON	CYTOTOXIC.CD8.T.CELL	MACROPHAGE	CYTOTOXIC.T.CELL.(SPECIFIC.MARKERS)	EXHAUSTED.T.CELL.(SPECIFIC.MARKERS)	NAIVE.T.CELL.(SPECIFIC.MARKERS)	TREG.(SPECIFIC.MARKERS)	CELL.CYCLE:.G1/S	CELL.CYCLE:.G2/M
CD34	ICAM1	COL1A1	ANPEP	BLK	C3AR1	CD24	ENPP3	CCR7	CD9	CCR7	CCR7	ANPEP	B3GAT1	CCR7	BSG	BCL6	CCR1	CCR3	CD3D	CCR4	AHR	CCR4	CCL3	CCR5	CCL3	CTLA4	CCR7	FOXP3	ATAD2	ANLN
CDH5	ICAM2	COL1A2	CCR3	CD19	C5AR1	GYPA	KIT	CD1A	GP1BA	CD1A	CD3D	C5AR1	CD244	CD1A	CCL5	CD3D	CCR5	CCR4	CD3E	CCR6	CCR10	CD4	CCL4	CD14	CCL4	HAVCR2	LEF1	IL2RA	BLM	ANP32E
ENG	ICAM3	COL6A1	CD44	CD2	CCR1	PTPRC		CD1B	ITGA2B	CD1B	CD3E	CD14	CD69	CD1B	CCR3	CD3E	CD4	CCR7	CD3G	CD38	CCR4	CNGB1	CD2	CD163	CST7	LAG3	SELL		BRIP1	AURKA
FLT4	ITGA4	COL6A2	CD63	CD22	CCR3			CD1C	ITGAV	CD1C	CD3G	CD33	IL2RB	CD1C	CD109	CD3G	CSF2	CCR8	CD4	CD3D	CCR6	CTLA4	CD3D	CD33	GZMA	PDCD1	TCF7		CASP8AP2	AURKB
ICAM1	ITGB1	COL6A3	CD69	CD40	CD244			CD207	ITGB3	CD207	CD4	CEACAM8	ITGA2	CD4	CD151	CD4	CXCR3	CD4	GATA3	CD3E	CD3D	ENTPD1	CD3E	CD68	GZMB	TIGIT			CCNE2	BIRC5
ITGB3	KIT	DCN	ENPP3	CD5	CD52			CD209	PECAM1	CD209	SELL	CSF3R	ITGAM	CD40	CD226	CD40LG	DPP4	CSF2	IRF4	CD3G	CD3E	FOXP3	CD3G	CD80	IFNG				CDC45	BUB1
KDR	MADCAM1	FAP	ICAM1	CD69	CD53			CD4	SELP	CD4		CXCR1	ITGAX	CD80	CD36	CD84	HAVCR2	CXCR4	STAT6	CD4	CD3G	IKZF2	CD8A	CD86	NKG7				CDC6	CBX5
MCAM	MME	THY1	IL3RA	CD70	CXCR3			CD40		CD40		CXCR2	KLRA1	CD83	CD46	CXCR5	IFNA1	GATA3		IL17A	CD4	IL2RA	CD8B	CSF1R	PRF1				CDCA7	CCNB2
PECAM1	MMP1		LAMP1	CD79A	FCER2			CD80		CD80		FCGR1A	KLRB1	CD86	CD47	ICOS	IFNGR1	HAVCR1		IL17F		ISG20	CST7	ENG					CHAF1B	CDC20
PROCR	MMP2		TLR4	CD79B	FUT4			CD83		CD83		FUT4	KLRD1	CD8A	CD48	IL6R	IL2	ICOS		IL1R1		ITGAE	GZMA	FCGR1A					CLSPN	CDC25C
