Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
10007	2.37271e-06	-4.85335	209	1	GMP	up	GNPDA1
10019	3.3809e-09	-6.17585	209	1	GMP	up	SH2B3
10023	7.00654e-14	-8.02984	209	1	GMP	up	FRAT1
10087	1.99697e-08	-5.83793	209	1	GMP	up	COL4A3BP
10092	4.28273e-08	-5.68872	209	1	GMP	up	ARPC5
10093	1.41253e-07	-5.44984	209	1	GMP	up	ARPC4
10094	3.48691e-08	-5.72918	209	1	GMP	up	ARPC3
10095	1.3116e-09	-6.35117	209	1	GMP	up	ARPC1B
10097	8.93136e-07	-5.06558	209	1	GMP	up	ACTR2
10114	1.44866e-06	-4.96134	209	1	GMP	up	HIPK3
10135	1.00329e-11	-7.21058	209	1	GMP	up	NAMPT
10161	4.07412e-08	-5.69857	209	1	GMP	up	LPAR6
10170	7.97071e-07	-5.08988	209	1	GMP	up	DHRS9
10205	5.58473e-08	-5.63619	209	1	GMP	up	MPZL2
10215	5.20362e-07	-5.18022	209	1	GMP	up	OLIG2
10221	2.2907e-11	-7.0694	209	1	GMP	up	TRIB1
10254	2.07308e-07	-5.3715	209	1	GMP	up	STAM2
1026	1.02192e-06	-5.03671	209	1	GMP	up	CDKN1A
10261	3.53708e-16	-8.85893	209	1	GMP	up	IGSF6
1028	1.46146e-07	-5.44292	209	1	GMP	up	CDKN1C
10287	4.05301e-08	-5.69959	209	1	GMP	up	RGS19
10288	2.51723e-14	-8.19338	209	1	GMP	up	LILRB2
10321	5.19129e-11	-6.92786	209	1	GMP	up	CRISP3
10326	8.53622e-18	-9.42278	209	1	GMP	up	SIRPB1
10333	1.9861e-10	-6.69195	209	1	GMP	up	TLR6
10402	1.08727e-08	-5.95502	209	1	GMP	up	ST3GAL6
10404	3.54238e-06	-4.76434	209	1	GMP	up	CPQ
10409	8.6069e-08	-5.54987	209	1	GMP	up	BASP1
10437	1.92978e-22	-10.9806	209	1	GMP	up	IFI30
10457	1.74588e-08	-5.86394	209	1	GMP	up	GPNMB
10462	1.00413e-11	-7.21044	209	1	GMP	up	CLEC10A
10475	7.01764e-07	-5.11698	209	1	GMP	up	TRIM38
10487	1.20852e-06	-5.00059	209	1	GMP	up	CAP1
1050	7.76395e-11	-6.8576	209	1	GMP	up	CEBPA
1051	3.4678e-14	-8.14238	209	1	GMP	up	CEBPB
1052	1.54808e-18	-9.67688	209	1	GMP	up	CEBPD
10533	3.04546e-07	-5.29216	209	1	GMP	up	ATG7
10562	2.20742e-11	-7.07577	209	1	GMP	up	OLFM4
10571	2.02424e-18	-9.63713	209	1	GMP	up	NA
10577	1.98931e-13	-7.8614	209	1	GMP	up	NPC2
10581	3.49979e-06	-4.76704	209	1	GMP	up	IFITM2
10588	3.11019e-06	-4.79337	209	1	GMP	up	MTHFS
10610	5.50494e-08	-5.63905	209	1	GMP	up	ST6GALNAC2
10611	8.96175e-07	-5.06485	209	1	GMP	up	PDLIM5
10643	2.98891e-08	-5.75939	209	1	GMP	up	IGF2BP3
10645	1.62763e-08	-5.87749	209	1	GMP	up	CAMKK2
10695	8.85375e-08	-5.54419	209	1	GMP	up	CNPY3
1075	5.68648e-10	-6.50341	209	1	GMP	up	CTSC
10859	2.37945e-15	-8.56441	209	1	GMP	up	LILRB1
10875	5.69138e-25	-11.8036	209	1	GMP	up	FGL2
1088	2.23801e-11	-7.0734	209	1	GMP	up	CEACAM8
10891	1.56059e-16	-8.98405	209	1	GMP	up	PPARGC1A
10903	2.68378e-18	-9.59526	209	1	GMP	up	MTMR11
10924	4.62752e-18	-9.5142	209	1	GMP	up	SMPDL3A
10970	5.74096e-13	-7.6884	209	1	GMP	up	CKAP4
10981	9.33056e-08	-5.53365	209	1	GMP	up	RAB32
11000	2.87547e-09	-6.20605	209	1	GMP	up	SLC27A3
11010	1.0969e-09	-6.38393	209	1	GMP	up	GLIPR1
11024	1.73425e-18	-9.66005	209	1	GMP	up	LILRA1
11026	7.5336e-14	-8.01819	209	1	GMP	up	LILRA3
11027	8.13754e-13	-7.63101	209	1	GMP	up	LILRA2
11031	9.80717e-15	-8.34258	209	1	GMP	up	RAB31
11033	1.37049e-11	-7.15744	209	1	GMP	up	ADAP1
11138	3.14933e-10	-6.60973	209	1	GMP	up	TBC1D8
11151	1.023e-06	-5.03648	209	1	GMP	up	CORO1A
1116	2.99205e-07	-5.29582	209	1	GMP	up	CHI3L1
11165	9.81417e-09	-5.97459	209	1	GMP	up	NUDT3
11182	5.85621e-07	-5.1553	209	1	GMP	up	SLC2A6
11213	1.93709e-07	-5.38542	209	1	GMP	up	IRAK3
1124	8.92362e-07	-5.06577	209	1	GMP	up	CHN2
11240	6.42556e-20	-10.1442	209	1	GMP	up	PADI2
11252	3.38206e-07	-5.27038	209	1	GMP	up	PACSIN2
11277	1.07938e-10	-6.79977	209	1	GMP	up	TREX1
112950	6.43367e-07	-5.13541	209	1	GMP	up	MED8
1130	1.2489e-12	-7.56023	209	1	GMP	up	LYST
11326	7.67688e-11	-6.85958	209	1	GMP	up	VSIG4
11342	1.23189e-07	-5.4776	209	1	GMP	up	RNF13
114548	3.66939e-15	-8.49685	209	1	GMP	up	NLRP3
114885	4.06802e-15	-8.48072	209	1	GMP	up	OSBPL11
115207	5.0536e-21	-10.5128	209	1	GMP	up	KCTD12
116496	5.71241e-09	-6.07734	209	1	GMP	up	NIBAN1
116985	1.48932e-06	-4.95533	209	1	GMP	up	ARAP1
1178	4.98755e-09	-6.10292	209	1	GMP	up	CLC
1200	4.43551e-11	-6.95521	209	1	GMP	up	TPP1
1230	4.76153e-26	-12.1506	209	1	GMP	up	CCR1
1231	3.47221e-16	-8.86177	209	1	GMP	up	NA
127544	6.64078e-08	-5.60173	209	1	GMP	up	RNF19B
131544	1.77286e-06	-4.91735	209	1	GMP	up	CRYBG3
1318	1.15478e-16	-9.02992	209	1	GMP	up	SLC31A2
133	1.87209e-10	-6.70245	209	1	GMP	up	ADM
1362	4.53738e-06	-4.70874	209	1	GMP	up	CPD
1378	3.22152e-08	-5.74471	209	1	GMP	up	CR1
137886	6.58747e-07	-5.1304	209	1	GMP	up	UBXN2B
1396	9.77568e-08	-5.52428	209	1	GMP	up	CRIP1
140	9.13732e-13	-7.6119	209	1	GMP	up	ADORA3
140885	4.25961e-20	-10.2041	209	1	GMP	up	SIRPA
1436	8.64006e-18	-9.42097	209	1	GMP	up	CSF1R
1438	5.7489e-15	-8.42656	209	1	GMP	up	CSF2RA
1439	3.23809e-08	-5.74371	209	1	GMP	up	CSF2RB
1441	1.78781e-20	-10.3301	209	1	GMP	up	CSF3R
1445	3.52603e-06	-4.76537	209	1	GMP	up	CSK
1462	4.54526e-24	-11.5116	209	1	GMP	up	VCAN
1471	3.511e-20	-10.2322	209	1	GMP	up	CST3
1475	4.36243e-22	-10.8642	209	1	GMP	up	CSTA
1476	8.00446e-09	-6.01343	209	1	GMP	up	CSTB
150776	4.90729e-08	-5.66182	209	1	GMP	up	LOC150776
1509	3.84608e-07	-5.24359	209	1	GMP	up	CTSD
1512	3.06219e-10	-6.61475	209	1	GMP	up	CTSH
1520	3.9098e-15	-8.48693	209	1	GMP	up	CTSS
1522	9.65986e-15	-8.34496	209	1	GMP	up	CTSZ
1524	6.12513e-12	-7.29423	209	1	GMP	up	CX3CR1
1535	4.88975e-08	-5.66253	209	1	GMP	up	CYBA
1536	1.04469e-18	-9.73506	209	1	GMP	up	CYBB
154	3.05922e-07	-5.29122	209	1	GMP	up	ADRB2
1545	1.09833e-21	-10.7321	209	1	GMP	up	CYP1B1
157	2.77569e-11	-7.03632	209	1	GMP	up	GRK3
158747	3.73273e-10	-6.57926	209	1	GMP	up	MOSPD2
1593	8.26901e-18	-9.42754	209	1	GMP	up	CYP27A1
1622	2.26692e-06	-4.86341	209	1	GMP	up	DBI
1667	3.91709e-10	-6.5706	209	1	GMP	up	DEFA1
1669	8.17998e-11	-6.84846	209	1	GMP	up	DEFA4
1675	4.25959e-15	-8.47353	209	1	GMP	up	CFD
168544	2.60209e-14	-8.18811	209	1	GMP	up	ZNF467
171546	1.97121e-06	-4.89413	209	1	GMP	up	SPTSSA
1730	1.16405e-09	-6.37305	209	1	GMP	up	DIAPH2
1774	2.51787e-06	-4.84024	209	1	GMP	up	DNASE1L1
